Coin,Balance,Available Qty,Reserved Qty,Haircut,Value(USD)
USD,,36506.64355673,0.00000000,0,36506.64
EUR,,73.90000000,0.00000000,0.04,86.12
CRO,,57.13378853,0.00000000,0.5,8.54
BTC,,0.00101986,0.00000000,0.0625,114.69
USDT,,296.41779187,0.00000000,0.02,296.44
DOT,,6.67802492,363.09000000,0.2,1125.20
ADA,,0.00000000,0.00000000,0,-9359.26
XRP,,237.84000000,0.00000000,0.2,620.23
AAVE,,0.00034054,6.36900000,0.2,1456.92
DOGE,,5106.33760000,0.00000000,0.2,987.39
ALGO,,707.43064857,0.00000000,0.33330001,130.02
AVAX,,0.00000000,0.00000000,0,-36.93
DGB,,350855.43888000,0.00000000,--,2152.49
AKT,,6.55054000,0.00000000,0.75,5.13
APT,,30.17384000,0.00000000,0.33330001,100.81
BONK,,186192267.80000000,0.00000000,0.5,2657.52
SUI,,0.54005826,0.00000000,0.2,1.34
STRK,,0.00000000,0.00000000,0,-0.01
TON,,0.96281472,0.00000000,0.2,2.17

